Date,Open,High,Low,Close,Adj Close,Volume
2022-04-22,148.360001,148.360001,148.360001,148.360001,146.363998,0
2022-04-25,149.210007,149.210007,149.210007,149.210007,147.202576,0
2022-04-26,145.009995,145.009995,145.009995,145.009995,143.059067,0
2022-04-27,145.320007,145.320007,145.320007,145.320007,143.364914,0
2022-04-28,148.919998,148.919998,148.919998,148.919998,146.916473,0
2022-04-29,143.529999,143.529999,143.529999,143.529999,141.598984,0
2022-05-02,144.350006,144.350006,144.350006,144.350006,142.407959,0
2022-05-03,145.039993,145.039993,145.039993,145.039993,143.088654,0
2022-05-04,149.380005,149.380005,149.380005,149.380005,147.370285,0
2022-05-05,144.070007,144.070007,144.070007,144.070007,142.131714,0
2022-05-06,143.270004,143.270004,143.270004,143.270004,141.342484,0
2022-05-09,138.690002,138.690002,138.690002,138.690002,136.824097,0
2022-05-10,139.029999,139.029999,139.029999,139.029999,137.159531,0
2022-05-11,136.750000,136.750000,136.750000,136.750000,134.910187,0
2022-05-12,136.619995,136.619995,136.619995,136.619995,134.781952,0
2022-05-13,139.899994,139.899994,139.899994,139.899994,138.017807,0
2022-05-16,139.350006,139.350006,139.350006,139.350006,137.475220,0
2022-05-17,142.169998,142.169998,142.169998,142.169998,140.257278,0
2022-05-18,136.460007,136.460007,136.460007,136.460007,134.624100,0
2022-05-19,135.679993,135.679993,135.679993,135.679993,133.854584,0
2022-05-20,135.699997,135.699997,135.699997,135.699997,133.874313,0
2022-05-23,138.240005,138.240005,138.240005,138.240005,136.380157,0
2022-05-24,137.110001,137.110001,137.110001,137.110001,135.265350,0
2022-05-25,138.410004,138.410004,138.410004,138.410004,136.547867,0
2022-05-26,141.169998,141.169998,141.169998,141.169998,139.270737,0
2022-05-27,144.690002,144.690002,144.690002,144.690002,142.743378,0
2022-05-31,143.789993,143.789993,143.789993,143.789993,141.855484,0
2022-06-01,142.729996,142.729996,142.729996,142.729996,140.809738,0
2022-06-02,145.389999,145.389999,145.389999,145.389999,143.433960,0
2022-06-03,143.020004,143.020004,143.020004,143.020004,141.095840,0
